car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Honda Amaze,Honda,Amaze,7,81747,Dealer,Petrol,Manual,18.6,1199,88.76,5
Maruti Swift Dzire,Maruti,Swift Dzire,8,78000,Dealer,Diesel,Manual,23.4,1248,74.0,5
Renault KWID,Renault,KWID,5,46260,Dealer,Petrol,Manual,22.3,799,53.26,5
Maruti Swift,Maruti,Swift,2,14499,Trustmark Dealer,Petrol,Manual,22.0,1197,81.8,5
Datsun RediGO,Datsun,RediGO,3,25000,Individual,Petrol,Manual,22.7,799,53.64,5
Honda City,Honda,City,12,80661,Dealer,Petrol,Manual,17.0,1497,118.0,5
Mahindra XUV500,Mahindra,XUV500,8,70000,Individual,Diesel,Manual,15.1,2179,140.0,7
Mahindra XUV500,Mahindra,XUV500,4,76000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Honda Amaze,Honda,Amaze,5,120000,Individual,Diesel,Manual,25.8,1498,98.6,5
Honda Jazz,Honda,Jazz,4,57812,Dealer,Petrol,Manual,18.2,1199,88.7,5
Maruti Alto,Maruti,Alto,8,39000,Dealer,Petrol,Manual,20.92,998,67.1,5
Rolls-Royce Ghost,Rolls-Royce,Ghost,4,5000,Individual,Petrol,Automatic,10.2,6592,563.0,4
Maruti Wagon R,Maruti,Wagon R,14,110000,Individual,LPG,Manual,17.3,1061,57.5,5
Ford Ecosport,Ford,Ecosport,2,57000,Individual,Diesel,Manual,23.0,1498,98.96,5
Hyundai Grand,Hyundai,Grand,7,80000,Individual,Diesel,Manual,24.0,1120,70.0,5
Maruti Vitara,Maruti,Vitara,4,55000,Individual,Diesel,Manual,24.3,1248,88.5,5
Maruti Wagon R,Maruti,Wagon R,4,18000,Dealer,Petrol,Automatic,20.51,998,67.0,5
Honda WR-V,Honda,WR-V,3,15000,Individual,Diesel,Manual,25.5,1498,98.6,5
Maruti Ignis,Maruti,Ignis,4,34000,Individual,Petrol,Manual,20.89,1197,81.8,5
Maruti Wagon R,Maruti,Wagon R,12,120000,Individual,LPG,Manual,17.3,1061,57.5,5
Volkswagen Vento,Volkswagen,Vento,9,81000,Dealer,Diesel,Manual,20.54,1598,103.6,5
Ford Ecosport,Ford,Ecosport,7,150000,Individual,Diesel,Manual,22.7,1498,89.84,5
Ford Ecosport,Ford,Ecosport,3,30000,Individual,Diesel,Manual,23.0,1498,98.96,5
Maruti Ertiga,Maruti,Ertiga,9,67235,Dealer,Diesel,Manual,25.47,1248,88.5,7
Hyundai i20,Hyundai,i20,4,25000,Dealer,Diesel,Manual,21.19,1396,88.73,5
Volkswagen Polo,Volkswagen,Polo,8,35000,Individual,Diesel,Manual,19.7,1598,103.6,5
Ford Figo,Ford,Figo,9,48507,Dealer,Petrol,Manual,15.6,1196,70.0,5
Mahindra Scorpio,Mahindra,Scorpio,6,120000,Individual,Diesel,Manual,15.4,1997,120.0,7
Skoda Rapid,Skoda,Rapid,7,70000,Dealer,Diesel,Manual,20.5,1598,103.5,5
Tata Harrier,Tata,Harrier,2,17000,Dealer,Diesel,Manual,17.0,1956,138.1,5
Tata Harrier,Tata,Harrier,2,20000,Individual,Diesel,Manual,17.0,1956,138.1,5
BMW 5,BMW,5,8,72000,Individual,Diesel,Automatic,17.09,1995,218.0,5
Maruti Vitara,Maruti,Vitara,5,70200,Dealer,Diesel,Manual,24.3,1248,88.5,5
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Automatic,21.4,1197,83.1,5
Skoda Rapid,Skoda,Rapid,4,105000,Dealer,Diesel,Automatic,21.72,1498,108.6,5
Honda City,Honda,City,9,36905,Dealer,Petrol,Manual,17.0,1497,118.0,5
Toyota Innova,Toyota,Innova,5,61667,Dealer,Diesel,Automatic,11.36,2755,171.5,7
Maruti Wagon R,Maruti,Wagon R,6,80000,Individual,CNG,Manual,26.6,998,58.16,5
Maruti Wagon R,Maruti,Wagon R,6,52606,Dealer,Petrol,Manual,18.9,998,67.1,5
Hyundai Creta,Hyundai,Creta,5,36000,Dealer,Petrol,Manual,13.0,1591,121.3,5
Ford Figo,Ford,Figo,6,120000,Individual,Diesel,Manual,20.0,1399,68.05,5
Maruti Alto,Maruti,Alto,8,90000,Individual,Petrol,Manual,20.92,998,67.1,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,15,78000,Dealer,Petrol,Automatic,10.5,1796,157.7,5
Hyundai Verna,Hyundai,Verna,4,48000,Dealer,Petrol,Manual,17.01,1591,121.3,5
Honda City,Honda,City,3,25000,Dealer,Petrol,Automatic,18.0,1497,117.6,5
Maruti Ciaz,Maruti,Ciaz,6,37006,Dealer,Diesel,Manual,26.21,1248,88.5,5
Ford Ecosport,Ford,Ecosport,5,65000,Individual,Diesel,Manual,22.77,1498,98.59,5
Maruti Ignis,Maruti,Ignis,3,16000,Individual,Petrol,Automatic,20.89,1197,81.8,5
Honda City,Honda,City,7,146781,Dealer,Diesel,Manual,26.0,1498,98.6,5
Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5
Toyota Innova,Toyota,Innova,7,86000,Dealer,Diesel,Manual,12.8,2494,102.0,7
Kia Seltos,Kia,Seltos,2,5400,Dealer,Petrol,Automatic,16.8,1353,138.0,5
Honda Jazz,Honda,Jazz,5,40000,Dealer,Petrol,Automatic,19.0,1199,88.7,5
Skoda Superb,Skoda,Superb,9,100000,Individual,Petrol,Manual,13.14,1798,157.8,5
Honda Amaze,Honda,Amaze,6,44000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Ford Figo,Ford,Figo,3,40000,Individual,Petrol,Manual,18.16,1196,86.8,5
Honda City,Honda,City,4,53000,Dealer,Petrol,Manual,17.4,1497,117.6,5
Honda WR-V,Honda,WR-V,4,65360,Dealer,Diesel,Manual,25.5,1498,98.6,5
Mahindra Bolero,Mahindra,Bolero,9,68000,Dealer,Diesel,Manual,13.6,2523,63.0,7
Maruti Swift Dzire,Maruti,Swift Dzire,9,120000,Individual,Diesel,Manual,23.4,1248,74.0,5
Toyota Innova,Toyota,Innova,4,44000,Individual,Diesel,Manual,13.68,2393,147.8,7
Toyota Camry,Toyota,Camry,6,49500,Dealer,Electric,Automatic,19.16,2494,157.7,5
Hyundai Elantra,Hyundai,Elantra,8,66612,Dealer,Petrol,Automatic,14.5,1797,147.5,5
Maruti Alto,Maruti,Alto,3,80000,Dealer,Petrol,Manual,22.74,796,47.3,5
Hyundai i10,Hyundai,i10,12,18000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Toyota Camry,Toyota,Camry,9,83386,Dealer,Petrol,Automatic,12.98,2494,178.3,5
Mahindra XUV500,Mahindra,XUV500,7,65436,Dealer,Diesel,Manual,15.1,2179,140.0,7
Honda City,Honda,City,6,75129,Dealer,Petrol,Manual,17.4,1497,117.3,5
Maruti Swift,Maruti,Swift,7,62500,Dealer,Diesel,Manual,25.2,1248,74.0,5
Maruti Alto,Maruti,Alto,13,60000,Individual,Petrol,Manual,19.7,796,46.3,5
Ford Ecosport,Ford,Ecosport,2,58000,Dealer,Petrol,Manual,17.0,1497,121.31,5
Toyota Fortuner,Toyota,Fortuner,9,60000,Individual,Diesel,Manual,12.55,2982,168.5,7
Maruti Wagon R,Maruti,Wagon R,3,30000,Individual,Petrol,Manual,20.51,998,67.04,5
Hyundai i10,Hyundai,i10,8,44000,Individual,Petrol,Manual,19.81,1086,68.05,5
Maruti Swift Dzire,Maruti,Swift Dzire,4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5
Maruti Vitara,Maruti,Vitara,2,22000,Dealer,Diesel,Automatic,24.3,1248,88.5,5
Mahindra XUV500,Mahindra,XUV500,7,170000,Individual,Diesel,Manual,15.1,2179,140.0,7
Maruti Swift Dzire,Maruti,Swift Dzire,3,140000,Individual,Diesel,Manual,28.4,1248,74.02,5
Hyundai i10,Hyundai,i10,9,75000,Dealer,Petrol,Manual,19.81,1086,68.05,5
Ford Figo,Ford,Figo,11,67000,Dealer,Diesel,Manual,20.0,1399,68.0,5
Hyundai Creta,Hyundai,Creta,4,40000,Individual,Diesel,Manual,19.67,1582,126.2,5
Honda CR,Honda,CR,4,75000,Dealer,Petrol,Automatic,12.0,2354,187.4,5
Ford Ecosport,Ford,Ecosport,5,56393,Dealer,Diesel,Manual,22.77,1498,98.59,5
Hyundai Venue,Hyundai,Venue,1,7066,Dealer,Petrol,Automatic,18.15,998,118.35,5
Hyundai Grand,Hyundai,Grand,6,55000,Dealer,Petrol,Manual,18.9,1197,82.0,5
Jaguar XF,Jaguar,XF,6,20000,Dealer,Diesel,Automatic,16.36,2179,187.7,5
Maruti Alto,Maruti,Alto,7,60000,Individual,Petrol,Manual,23.95,998,67.05,5
Hyundai Verna,Hyundai,Verna,4,28000,Dealer,Petrol,Automatic,17.0,1591,121.3,5
Maruti Baleno,Maruti,Baleno,4,45000,Dealer,Diesel,Manual,27.39,1248,74.0,5
Maruti Ertiga,Maruti,Ertiga,4,50000,Individual,Diesel,Manual,24.52,1248,88.5,7
Toyota Innova,Toyota,Innova,6,56212,Dealer,Diesel,Manual,12.99,2494,100.0,7
Tata Nexon,Tata,Nexon,2,25000,Individual,Diesel,Manual,21.5,1497,108.5,5
Hyundai i10,Hyundai,i10,10,68000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Ciaz,Maruti,Ciaz,3,40000,Individual,Diesel,Manual,28.09,1248,88.5,5
Hyundai i10,Hyundai,i10,9,80000,Individual,Petrol,Manual,19.81,1086,68.05,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Dealer,Petrol,Manual,22.0,1197,81.8,5
Hyundai i20,Hyundai,i20,6,47000,Dealer,Diesel,Manual,21.19,1396,88.73,5
Maruti Ciaz,Maruti,Ciaz,2,15000,Individual,Petrol,Manual,21.56,1462,103.25,5
Maruti Ertiga,Maruti,Ertiga,9,50000,Individual,Diesel,Manual,20.77,1248,88.76,7
Hyundai i20,Hyundai,i20,10,17728,Individual,Petrol,Manual,18.5,1197,80.0,5
Hyundai i10,Hyundai,i10,9,15000,Individual,Petrol,Manual,20.36,1197,78.9,5
Skoda Superb,Skoda,Superb,9,55200,Dealer,Petrol,Manual,13.14,1798,157.8,5
Hyundai Grand,Hyundai,Grand,2,10000,Individual,Petrol,Manual,18.9,1197,81.86,5
Mahindra XUV500,Mahindra,XUV500,6,186000,Individual,Diesel,Manual,15.1,2179,140.0,7
Maruti Celerio,Maruti,Celerio,6,64000,Dealer,Diesel,Manual,27.62,793,47.0,5
Honda City,Honda,City,6,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5
Mahindra Scorpio,Mahindra,Scorpio,3,57000,Dealer,Diesel,Manual,15.4,1997,120.0,7
Hyundai Creta,Hyundai,Creta,2,51000,Dealer,Diesel,Manual,21.38,1396,88.7,5
Maruti Ertiga,Maruti,Ertiga,1,4500,Individual,Petrol,Manual,19.01,1462,103.26,7
Hyundai Grand,Hyundai,Grand,8,50000,Individual,Petrol,Manual,18.9,1197,82.0,5
Honda City,Honda,City,5,61000,Dealer,Petrol,Manual,17.8,1497,117.3,5
Maruti Ciaz,Maruti,Ciaz,6,84000,Dealer,Diesel,Manual,26.21,1248,88.5,5
Hyundai i20,Hyundai,i20,7,30000,Individual,Petrol,Manual,18.6,1197,81.83,5
Maruti Alto,Maruti,Alto,3,40000,Individual,Petrol,Manual,23.95,998,67.05,5
Mahindra XUV500,Mahindra,XUV500,4,56000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Toyota Innova,Toyota,Innova,4,46000,Dealer,Diesel,Automatic,11.36,2755,171.5,7
Jaguar XF,Jaguar,XF,10,61000,Dealer,Diesel,Automatic,14.74,2993,270.9,5
Hyundai Grand,Hyundai,Grand,5,100000,Individual,Petrol,Manual,18.9,1197,82.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,7,101000,Individual,Petrol,Manual,17.5,1298,85.8,5
Mahindra XUV500,Mahindra,XUV500,7,150000,Individual,Diesel,Manual,15.1,2179,140.0,7
Maruti Baleno,Maruti,Baleno,15,60500,Dealer,Petrol,Manual,15.4,1590,94.0,5
Ford Ecosport,Ford,Ecosport,6,131100,Individual,Diesel,Manual,22.77,1498,98.59,5
Maruti Ciaz,Maruti,Ciaz,3,25000,Dealer,Petrol,Manual,20.65,1462,103.25,5
Maruti Swift Dzire,Maruti,Swift Dzire,5,120000,Individual,Diesel,Manual,26.59,1248,74.0,5
Volkswagen Polo,Volkswagen,Polo,6,62000,Dealer,Diesel,Manual,20.14,1498,88.0,5
Hyundai Verna,Hyundai,Verna,2,15000,Individual,Petrol,Manual,17.0,1591,121.3,5
Mahindra XUV500,Mahindra,XUV500,5,46100,Individual,Diesel,Manual,16.0,2179,140.0,7
Hyundai i10,Hyundai,i10,11,60000,Dealer,Petrol,Automatic,16.95,1197,78.9,5
Honda City,Honda,City,7,45000,Dealer,Diesel,Manual,26.0,1498,98.6,5
Toyota Fortuner,Toyota,Fortuner,5,50000,Dealer,Petrol,Automatic,10.26,2694,163.7,7
Honda Jazz,Honda,Jazz,5,38739,Dealer,Diesel,Manual,27.3,1498,98.6,5
Land Rover Rover,Land Rover,Rover,9,158648,Dealer,Diesel,Automatic,11.49,4367,335.3,5
Hyundai Grand,Hyundai,Grand,5,51000,Dealer,Petrol,Manual,18.9,1197,82.0,5
Mahindra XUV500,Mahindra,XUV500,4,30000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Mahindra Scorpio,Mahindra,Scorpio,7,46000,Dealer,Diesel,Manual,15.4,2523,75.0,9
Toyota Innova,Toyota,Innova,14,95000,Dealer,Diesel,Manual,12.8,2494,102.0,8
Maruti Swift Dzire,Maruti,Swift Dzire,8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5
Tata Hexa,Tata,Hexa,4,10000,Individual,Diesel,Manual,17.6,2179,147.94,7
Maruti Swift,Maruti,Swift,7,50000,Dealer,Diesel,Manual,22.9,1248,74.0,5
Maruti Wagon R,Maruti,Wagon R,14,35986,Dealer,Petrol,Manual,18.9,998,67.1,5
Maruti Ciaz,Maruti,Ciaz,5,56000,Dealer,Diesel,Manual,28.09,1248,88.5,5
Hyundai Verna,Hyundai,Verna,5,120000,Individual,Diesel,Manual,23.9,1582,126.2,5
Maruti Baleno,Maruti,Baleno,2,23000,Individual,Diesel,Manual,27.39,1248,74.0,5
Ford Figo,Ford,Figo,11,89226,Dealer,Diesel,Manual,20.0,1399,68.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,4,44500,Individual,Diesel,Manual,28.4,1248,74.02,5
Ford Figo,Ford,Figo,5,21200,Individual,Diesel,Manual,25.83,1498,99.0,5
Hyundai i20,Hyundai,i20,5,60000,Individual,Petrol,Manual,17.19,1197,81.86,5
Volkswagen Polo,Volkswagen,Polo,7,56000,Dealer,Diesel,Manual,20.14,1498,88.8,5
BMW X1,BMW,X1,3,23000,Dealer,Diesel,Automatic,20.68,1995,190.0,5
Skoda Octavia,Skoda,Octavia,6,35000,Individual,Diesel,Automatic,19.3,1968,141.0,5
Honda City,Honda,City,7,45045,Dealer,Petrol,Automatic,18.0,1497,117.3,5
Hyundai i20,Hyundai,i20,4,42000,Dealer,Petrol,Automatic,18.6,1368,98.63,5
Maruti Baleno,Maruti,Baleno,4,38000,Dealer,Petrol,Manual,21.4,1197,83.1,5
Skoda Rapid,Skoda,Rapid,9,103000,Dealer,Petrol,Automatic,14.3,1598,105.0,5
Hyundai i20,Hyundai,i20,7,54159,Dealer,Petrol,Manual,18.6,1197,81.83,5
Volkswagen Vento,Volkswagen,Vento,5,110000,Individual,Diesel,Automatic,22.15,1498,108.6,5
Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Diesel,Manual,25.47,1248,88.5,7
Mahindra KUV100,Mahindra,KUV100,3,80000,Individual,Diesel,Manual,25.32,1198,77.0,6
BMW 3,BMW,3,4,50000,Dealer,Diesel,Automatic,19.59,1995,184.0,5
Hyundai Verna,Hyundai,Verna,5,32359,Dealer,Petrol,Manual,17.01,1591,121.3,5
Maruti Alto,Maruti,Alto,12,63000,Individual,Petrol,Manual,19.7,796,46.3,5
Maruti Swift,Maruti,Swift,1,1500,Individual,Diesel,Manual,28.4,1248,74.0,5
Maruti Alto,Maruti,Alto,11,41000,Dealer,Petrol,Manual,19.7,796,46.3,5
Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.8,7
Ford Figo,Ford,Figo,5,145000,Individual,Diesel,Manual,25.83,1498,99.0,5
BMW 7,BMW,7,13,56000,Dealer,Petrol,Automatic,8.45,2979,321.0,5
Honda Jazz,Honda,Jazz,4,20000,Dealer,Petrol,Automatic,19.0,1199,88.7,5
Honda City,Honda,City,6,88102,Dealer,Diesel,Manual,26.0,1498,98.6,5
Honda City,Honda,City,5,32000,Dealer,Petrol,Automatic,18.0,1497,117.3,5
Hyundai Grand,Hyundai,Grand,7,55000,Dealer,Diesel,Manual,24.0,1186,73.97,5
Renault Duster,Renault,Duster,7,43001,Dealer,Diesel,Manual,19.01,1461,108.45,5
Honda Jazz,Honda,Jazz,2,4065,Dealer,Petrol,Manual,18.7,1199,88.7,5
Maruti Alto,Maruti,Alto,15,100000,Individual,Petrol,Manual,19.7,796,46.3,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,33999,Dealer,Petrol,Manual,12.3,1796,185.0,5
Skoda Superb,Skoda,Superb,11,154667,Dealer,Diesel,Automatic,17.2,1968,138.1,5
Maruti Celerio,Maruti,Celerio,3,30700,Dealer,Petrol,Manual,21.63,998,67.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,7,210000,Individual,Diesel,Manual,23.4,1248,74.0,5
Hyundai Creta,Hyundai,Creta,5,52500,Individual,Diesel,Manual,21.38,1396,88.7,5
Honda City,Honda,City,9,55000,Dealer,Petrol,Manual,16.8,1497,116.3,5
Toyota Camry,Toyota,Camry,6,73000,Dealer,Petrol,Automatic,12.98,2494,178.3,5
Maruti Ignis,Maruti,Ignis,3,33000,Dealer,Petrol,Manual,20.89,1197,81.8,5
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5
Maruti Swift,Maruti,Swift,10,40000,Individual,Petrol,Manual,16.6,1197,85.0,5
Maruti Swift,Maruti,Swift,3,48000,Dealer,Diesel,Manual,28.4,1248,74.0,5
Ford Figo,Ford,Figo,3,60000,Individual,Petrol,Manual,18.16,1196,86.8,5
Maruti Swift,Maruti,Swift,7,60000,Individual,Diesel,Manual,25.2,1248,74.0,5
Tata Tigor,Tata,Tigor,2,50000,Individual,Diesel,Manual,24.7,1047,69.0,5
Maruti Alto,Maruti,Alto,9,70000,Individual,Petrol,Manual,19.7,796,46.3,5
Honda City,Honda,City,3,31543,Dealer,Petrol,Manual,16.8,1497,116.3,5
Mahindra XUV500,Mahindra,XUV500,7,58232,Dealer,Diesel,Manual,15.1,2179,140.0,7
Skoda Superb,Skoda,Superb,10,92000,Individual,Petrol,Manual,13.14,1798,157.8,5
Maruti Alto,Maruti,Alto,3,14709,Dealer,Petrol,Manual,24.7,796,47.3,5
Maruti Swift,Maruti,Swift,3,40000,Individual,Petrol,Manual,22.0,1197,81.8,5
Honda City,Honda,City,8,80400,Dealer,Petrol,Automatic,16.8,1497,116.4,5
Maruti Wagon R,Maruti,Wagon R,8,55000,Dealer,Petrol,Manual,21.79,998,67.05,5
Hyundai Verna,Hyundai,Verna,9,72193,Dealer,Diesel,Manual,22.32,1582,126.32,5
Honda Civic,Honda,Civic,2,21500,Dealer,Petrol,Automatic,16.5,1799,139.46,5
Mahindra Bolero,Mahindra,Bolero,9,80000,Individual,Diesel,Manual,15.96,2523,62.1,7
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5
Toyota Innova,Toyota,Innova,8,121000,Dealer,Diesel,Manual,12.8,2494,102.0,8
Hyundai i20,Hyundai,i20,3,20773,Dealer,Petrol,Manual,18.6,1197,81.83,5
Tata Safari,Tata,Safari,3,60000,Individual,Diesel,Manual,14.1,2179,147.94,7
Volkswagen Polo,Volkswagen,Polo,10,61000,Dealer,Petrol,Manual,16.47,1198,73.9,5
Maruti Ciaz,Maruti,Ciaz,2,9000,Dealer,Petrol,Manual,21.56,1462,103.25,5
Hyundai i10,Hyundai,i10,9,50000,Individual,Petrol,Manual,20.36,1197,78.9,5
Maruti Baleno,Maruti,Baleno,3,14000,Dealer,Petrol,Manual,21.4,1197,83.1,5
Ford Figo,Ford,Figo,10,71000,Dealer,Diesel,Manual,25.83,1498,99.0,5
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10,67000,Dealer,Petrol,Automatic,11.74,1796,186.0,5
Hyundai i20,Hyundai,i20,5,43000,Dealer,Diesel,Manual,22.54,1396,88.73,5
Maruti Alto,Maruti,Alto,3,10000,Individual,Petrol,Automatic,23.95,998,67.1,5
Hyundai i20,Hyundai,i20,11,80000,Dealer,Petrol,Manual,18.6,1197,81.83,5
Volkswagen Polo,Volkswagen,Polo,8,83500,Dealer,Diesel,Manual,15.11,1598,103.6,5
Maruti Baleno,Maruti,Baleno,3,25000,Individual,Petrol,Manual,21.4,1197,83.1,5
Volkswagen Polo,Volkswagen,Polo,5,38060,Dealer,Petrol,Automatic,17.21,1197,103.5,5
Hyundai Venue,Hyundai,Venue,2,25000,Dealer,Diesel,Manual,23.7,1396,88.7,5
Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,18.6,1197,81.83,5
Mahindra Marazzo,Mahindra,Marazzo,1,20000,Individual,Diesel,Manual,17.3,1497,121.0,7
Honda Jazz,Honda,Jazz,5,52062,Dealer,Petrol,Manual,18.2,1199,88.7,5
Hyundai i10,Hyundai,i10,11,45000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Celerio,Maruti,Celerio,4,20000,Individual,Petrol,Manual,23.1,998,67.04,5
Maruti Swift,Maruti,Swift,13,65123,Dealer,Diesel,Manual,17.8,1248,75.0,5
Mahindra Marazzo,Mahindra,Marazzo,2,50000,Individual,Diesel,Manual,17.3,1497,121.0,8
Maruti Swift Dzire,Maruti,Swift Dzire,5,73000,Individual,Petrol,Manual,20.85,1197,83.14,5
Maruti Vitara,Maruti,Vitara,5,120000,Individual,Diesel,Manual,24.3,1248,88.5,5
BMW 5,BMW,5,4,18000,Dealer,Diesel,Automatic,18.12,1995,190.0,5
Hyundai i20,Hyundai,i20,9,60000,Dealer,Petrol,Manual,18.5,1197,80.0,5
Mahindra Bolero,Mahindra,Bolero,3,43214,Dealer,Diesel,Manual,15.96,2523,62.1,7
Hyundai Tucson,Hyundai,Tucson,3,12000,Dealer,Petrol,Automatic,12.95,1999,152.88,5
Tata Tigor,Tata,Tigor,3,30000,Individual,Diesel,Manual,24.7,1047,69.0,5
Renault KWID,Renault,KWID,3,8000,Dealer,Petrol,Automatic,24.04,999,67.0,5
Maruti Swift,Maruti,Swift,3,47000,Dealer,Diesel,Manual,28.4,1248,74.0,5
Honda Jazz,Honda,Jazz,5,49000,Dealer,Petrol,Manual,16.6,1199,88.51,5
Audi A6,Audi,A6,7,56000,Dealer,Diesel,Automatic,17.68,1968,174.33,5
Hyundai Grand,Hyundai,Grand,6,50283,Dealer,Petrol,Manual,18.9,1197,82.0,5
Renault Duster,Renault,Duster,8,67000,Dealer,Diesel,Manual,19.87,1461,83.8,5
Maruti Ciaz,Maruti,Ciaz,5,22000,Individual,Petrol,Manual,20.73,1373,91.1,5
Honda City,Honda,City,12,65000,Dealer,Petrol,Manual,17.0,1497,118.0,5
Honda City,Honda,City,7,220000,Dealer,Diesel,Manual,26.0,1498,98.6,5
Maruti Alto,Maruti,Alto,7,35000,Individual,Petrol,Manual,23.95,998,67.05,5
Audi A6,Audi,A6,8,51000,Dealer,Diesel,Automatic,17.68,1968,174.33,5
Maruti Celerio,Maruti,Celerio,4,31000,Dealer,Petrol,Manual,21.63,998,67.04,5
Renault KWID,Renault,KWID,6,68000,Dealer,Petrol,Manual,25.17,799,53.3,5
Maruti Alto,Maruti,Alto,6,85000,Individual,Petrol,Manual,22.74,796,47.3,5
Lexus ES,Lexus,ES,4,33000,Dealer,Petrol,Automatic,22.37,2487,214.56,5
Maruti Baleno,Maruti,Baleno,3,9248,Dealer,Petrol,Automatic,21.4,1197,83.1,5
Hyundai i20,Hyundai,i20,4,33230,Dealer,Petrol,Manual,18.6,1197,81.83,5
Honda City,Honda,City,5,55055,Dealer,Petrol,Manual,17.8,1497,117.3,5
Maruti Wagon R,Maruti,Wagon R,13,108000,Individual,LPG,Manual,17.3,1061,57.5,5
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5
Honda Civic,Honda,Civic,2,21000,Dealer,Petrol,Automatic,16.5,1799,139.46,5
Maruti Wagon R,Maruti,Wagon R,13,70000,Individual,LPG,Manual,17.3,1061,57.5,5
BMW 5,BMW,5,13,50000,Dealer,Petrol,Automatic,10.8,2497,215.0,5
Ford Figo,Ford,Figo,11,161728,Dealer,Petrol,Manual,15.6,1196,70.0,5
Hyundai Creta,Hyundai,Creta,2,25000,Individual,Diesel,Manual,20.5,1582,126.2,5
Maruti Alto,Maruti,Alto,5,50000,Individual,Petrol,Manual,24.7,796,47.3,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,60000,Individual,Diesel,Manual,28.4,1248,74.02,5
Tata Safari,Tata,Safari,9,100000,Individual,Diesel,Manual,11.57,2179,138.1,7
Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5
Honda Amaze,Honda,Amaze,7,46000,Individual,Petrol,Manual,18.0,1198,86.7,5
Maruti Swift Dzire,Maruti,Swift Dzire,9,68600,Individual,Diesel,Manual,28.4,1248,74.02,5
Toyota Innova,Toyota,Innova,4,70000,Individual,Diesel,Manual,13.68,2393,147.8,8
Honda City,Honda,City,9,65000,Dealer,Petrol,Automatic,16.8,1497,118.0,5
Hyundai Grand,Hyundai,Grand,2,10000,Individual,Petrol,Automatic,20.7,1197,81.86,5
Maruti Ciaz,Maruti,Ciaz,3,27000,Dealer,Diesel,Manual,28.09,1248,88.5,5
Hyundai Grand,Hyundai,Grand,6,52627,Dealer,Diesel,Manual,24.0,1120,70.0,5
Hyundai i20,Hyundai,i20,6,25000,Individual,Petrol,Manual,18.6,1197,81.83,5
Hyundai Grand,Hyundai,Grand,6,49000,Dealer,Petrol,Automatic,18.9,1197,82.0,5
Mahindra Bolero,Mahindra,Bolero,5,120000,Individual,Diesel,Manual,15.96,2523,62.1,7
Maruti Wagon R,Maruti,Wagon R,13,84915,Dealer,LPG,Manual,17.3,1061,57.5,5
Hyundai Verna,Hyundai,Verna,4,72000,Dealer,Diesel,Manual,24.0,1396,88.76,5
Volkswagen Polo,Volkswagen,Polo,8,73000,Dealer,Diesel,Manual,22.07,1199,73.9,5
Tata Tigor,Tata,Tigor,3,35000,Individual,Petrol,Manual,20.3,1199,84.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,9,66581,Dealer,Petrol,Automatic,17.4,1197,85.8,5
Ford Ecosport,Ford,Ecosport,2,18500,Individual,Petrol,Manual,17.0,1497,121.31,5
Hyundai Verna,Hyundai,Verna,9,85000,Dealer,Diesel,Manual,22.32,1582,126.32,5
Hyundai i20,Hyundai,i20,7,64000,Dealer,Diesel,Manual,22.54,1396,88.73,5
Toyota Glanza,Toyota,Glanza,2,10000,Individual,Petrol,Manual,21.01,1197,81.8,5
Maruti Vitara,Maruti,Vitara,2,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5
Renault Duster,Renault,Duster,6,56308,Dealer,Diesel,Manual,20.45,1461,83.8,5
