car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Mahindra XUV500,Mahindra,XUV500,3,18000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1572000
Land Rover Rover,Land Rover,Rover,6,104000,Dealer,Diesel,Automatic,12.65,2993,296.0,5,4879100
Maruti Swift Dzire,Maruti,Swift Dzire,8,78000,Dealer,Petrol,Manual,19.1,1197,85.8,5,405410
Honda City,Honda,City,6,34235,Dealer,Petrol,Manual,17.8,1497,117.3,5,591800
Hyundai Venue,Hyundai,Venue,2,6500,Individual,Petrol,Automatic,18.15,998,118.35,5,1131700
Renault KWID,Renault,KWID,4,28600,Individual,Petrol,Manual,25.17,799,53.3,5,297950
Maruti Swift Dzire,Maruti,Swift Dzire,4,10000,Individual,Petrol,Automatic,22.0,1197,81.8,5,738010
Mahindra XUV500,Mahindra,XUV500,9,74000,Dealer,Diesel,Manual,15.1,2179,140.0,7,762740
Maruti Vitara,Maruti,Vitara,5,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,743967
Skoda Octavia,Skoda,Octavia,7,80000,Dealer,Diesel,Automatic,19.3,1968,141.0,5,1139750
Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,706821
Hyundai Verna,Hyundai,Verna,8,69000,Dealer,Diesel,Manual,22.32,1582,126.32,5,497520
Maruti Celerio,Maruti,Celerio,3,22000,Dealer,Petrol,Manual,21.63,998,67.05,5,497350
Land Rover Rover,Land Rover,Rover,9,89000,Dealer,Diesel,Automatic,12.7,2179,187.7,5,2307050
Maruti Baleno,Maruti,Baleno,3,31400,Dealer,Petrol,Manual,21.01,1197,81.8,5,653260
Toyota Innova,Toyota,Innova,13,184000,Dealer,Diesel,Manual,12.8,2494,102.0,8,466400
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10,110500,Dealer,Petrol,Automatic,11.74,1796,186.0,5,829930
Tata Safari,Tata,Safari,10,130000,Individual,Diesel,Manual,13.93,2179,138.03,7,276730
Maruti Wagon R,Maruti,Wagon R,9,35000,Individual,Petrol,Manual,18.9,998,67.1,5,273850
Maruti Wagon R,Maruti,Wagon R,4,42000,Dealer,Petrol,Manual,21.79,998,67.05,5,412108
Maruti Swift,Maruti,Swift,5,51000,Individual,Petrol,Manual,20.4,1197,81.8,5,407800
Toyota Innova,Toyota,Innova,2,21000,Dealer,Diesel,Manual,13.68,2393,147.51,7,2026770
Maruti Swift,Maruti,Swift,6,52000,Dealer,Petrol,Manual,21.21,1197,81.8,5,500900
Jeep Compass,Jeep,Compass,3,17500,Dealer,Petrol,Manual,16.0,1368,160.0,5,1430740
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,65000,Dealer,Diesel,Automatic,14.94,2143,204.0,5,1287200
Hyundai i10,Hyundai,i10,9,38452,Dealer,Petrol,Manual,20.36,1197,78.9,5,318780
Porsche Cayenne,Porsche,Cayenne,4,24000,Dealer,Petrol,Automatic,12.5,3604,440.0,5,9127847
Maruti Alto,Maruti,Alto,14,52235,Dealer,Petrol,Manual,19.7,796,46.3,5,160210
Hyundai i20,Hyundai,i20,4,56244,Dealer,Diesel,Manual,22.54,1396,88.73,5,665998
Tata Tiago,Tata,Tiago,4,9000,Individual,Petrol,Manual,23.84,1199,84.0,5,458448
Toyota Innova,Toyota,Innova,5,90000,Dealer,Diesel,Manual,12.99,2494,100.6,7,1106205
Maruti Ciaz,Maruti,Ciaz,5,35701,Trustmark Dealer,Petrol,Manual,20.73,1373,91.1,5,614130
Maruti Swift,Maruti,Swift,7,24000,Individual,Diesel,Manual,25.2,1248,74.0,5,442000
Volkswagen Vento,Volkswagen,Vento,8,56000,Dealer,Petrol,Manual,15.04,1598,103.6,5,341830
Toyota Fortuner,Toyota,Fortuner,11,131000,Dealer,Diesel,Manual,11.5,2982,171.0,7,1099850
Maruti Ciaz,Maruti,Ciaz,5,72000,Dealer,Diesel,Manual,28.09,1248,88.5,5,588400
Maruti Wagon R,Maruti,Wagon R,14,55000,Dealer,Petrol,Manual,18.9,1061,67.0,5,169300
Maruti Alto,Maruti,Alto,11,100000,Individual,Petrol,Manual,19.7,796,46.3,5,161835
Ford Figo,Ford,Figo,8,73000,Dealer,Petrol,Manual,15.6,1196,70.02,5,292600
Hyundai i20,Hyundai,i20,10,89000,Dealer,Petrol,Automatic,15.0,1396,100.0,5,365940
Maruti Wagon R,Maruti,Wagon R,4,41000,Dealer,Petrol,Automatic,20.51,998,67.0,5,431260
Toyota Innova,Toyota,Innova,9,120000,Individual,Diesel,Manual,12.8,2494,102.0,7,814253
MG Hector,MG,Hector,2,4000,Dealer,Petrol,Automatic,13.96,1451,141.0,5,1772195
Maruti Ertiga,Maruti,Ertiga,2,20000,Individual,Diesel,Manual,25.47,1248,88.5,7,983540
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,51000,Dealer,Petrol,Automatic,14.74,1991,181.04,5,1227400
Audi A4,Audi,A4,9,80000,Dealer,Diesel,Automatic,16.55,1968,140.0,5,1300360
Mahindra Scorpio,Mahindra,Scorpio,13,52000,Dealer,Diesel,Manual,12.7,2609,120.0,8,424050
Hyundai i20,Hyundai,i20,3,12000,Individual,Petrol,Manual,17.19,1197,81.86,5,725294
Hyundai Grand,Hyundai,Grand,4,76000,Dealer,Petrol,Automatic,18.9,1197,82.0,5,504680
Maruti Alto,Maruti,Alto,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,217878
Honda Amaze,Honda,Amaze,7,81747,Dealer,Petrol,Manual,18.6,1199,88.76,5,393000
Maruti Swift Dzire,Maruti,Swift Dzire,8,78000,Dealer,Diesel,Manual,23.4,1248,74.0,5,472905
Renault KWID,Renault,KWID,5,46260,Dealer,Petrol,Manual,22.3,799,53.26,5,291860
Maruti Swift,Maruti,Swift,2,14499,Trustmark Dealer,Petrol,Manual,22.0,1197,81.8,5,589190
Datsun RediGO,Datsun,RediGO,3,25000,Individual,Petrol,Manual,22.7,799,53.64,5,252940
Honda City,Honda,City,12,80661,Dealer,Petrol,Manual,17.0,1497,118.0,5,327083
Mahindra XUV500,Mahindra,XUV500,8,70000,Individual,Diesel,Manual,15.1,2179,140.0,7,592847
Mahindra XUV500,Mahindra,XUV500,4,76000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1294350
Honda Amaze,Honda,Amaze,5,120000,Individual,Diesel,Manual,25.8,1498,98.6,5,481297
Honda Jazz,Honda,Jazz,4,57812,Dealer,Petrol,Manual,18.2,1199,88.7,5,631650
Maruti Alto,Maruti,Alto,8,39000,Dealer,Petrol,Manual,20.92,998,67.1,5,227340
Rolls-Royce Ghost,Rolls-Royce,Ghost,4,5000,Individual,Petrol,Automatic,10.2,6592,563.0,4,10718500
Maruti Wagon R,Maruti,Wagon R,14,110000,Individual,LPG,Manual,17.3,1061,57.5,5,116826
Ford Ecosport,Ford,Ecosport,2,57000,Individual,Diesel,Manual,23.0,1498,98.96,5,966970
Hyundai Grand,Hyundai,Grand,7,80000,Individual,Diesel,Manual,24.0,1120,70.0,5,345492
Maruti Vitara,Maruti,Vitara,4,55000,Individual,Diesel,Manual,24.3,1248,88.5,5,803113
Maruti Wagon R,Maruti,Wagon R,4,18000,Dealer,Petrol,Automatic,20.51,998,67.0,5,457897
Honda WR-V,Honda,WR-V,3,15000,Individual,Diesel,Manual,25.5,1498,98.6,5,840760
Maruti Ignis,Maruti,Ignis,4,34000,Individual,Petrol,Manual,20.89,1197,81.8,5,478632
Maruti Wagon R,Maruti,Wagon R,12,120000,Individual,LPG,Manual,17.3,1061,57.5,5,144600
Volkswagen Vento,Volkswagen,Vento,9,81000,Dealer,Diesel,Manual,20.54,1598,103.6,5,468417
Ford Ecosport,Ford,Ecosport,7,150000,Individual,Diesel,Manual,22.7,1498,89.84,5,488007
Ford Ecosport,Ford,Ecosport,3,30000,Individual,Diesel,Manual,23.0,1498,98.96,5,815386
Maruti Ertiga,Maruti,Ertiga,9,67235,Dealer,Diesel,Manual,25.47,1248,88.5,7,551050
Hyundai i20,Hyundai,i20,4,25000,Dealer,Diesel,Manual,21.19,1396,88.73,5,732550
Volkswagen Polo,Volkswagen,Polo,8,35000,Individual,Diesel,Manual,19.7,1598,103.6,5,509510
Ford Figo,Ford,Figo,9,48507,Dealer,Petrol,Manual,15.6,1196,70.0,5,277258
Mahindra Scorpio,Mahindra,Scorpio,6,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,957620
Skoda Rapid,Skoda,Rapid,7,70000,Dealer,Diesel,Manual,20.5,1598,103.5,5,465190
Tata Harrier,Tata,Harrier,2,17000,Dealer,Diesel,Manual,17.0,1956,138.1,5,1662450
Tata Harrier,Tata,Harrier,2,20000,Individual,Diesel,Manual,17.0,1956,138.1,5,1625308
BMW 5,BMW,5,8,72000,Individual,Diesel,Automatic,17.09,1995,218.0,5,1954570
Maruti Vitara,Maruti,Vitara,5,70200,Dealer,Diesel,Manual,24.3,1248,88.5,5,690642
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Automatic,21.4,1197,83.1,5,666391
Skoda Rapid,Skoda,Rapid,4,105000,Dealer,Diesel,Automatic,21.72,1498,108.6,5,747585
Honda City,Honda,City,9,36905,Dealer,Petrol,Manual,17.0,1497,118.0,5,427296
Toyota Innova,Toyota,Innova,5,61667,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1667370
Maruti Wagon R,Maruti,Wagon R,6,80000,Individual,CNG,Manual,26.6,998,58.16,5,328168
Maruti Wagon R,Maruti,Wagon R,6,52606,Dealer,Petrol,Manual,18.9,998,67.1,5,360420
Hyundai Creta,Hyundai,Creta,5,36000,Dealer,Petrol,Manual,13.0,1591,121.3,5,934550
Ford Figo,Ford,Figo,6,120000,Individual,Diesel,Manual,20.0,1399,68.05,5,372250
Maruti Alto,Maruti,Alto,8,90000,Individual,Petrol,Manual,20.92,998,67.1,5,220120
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,15,78000,Dealer,Petrol,Automatic,10.5,1796,157.7,5,447437
Hyundai Verna,Hyundai,Verna,4,48000,Dealer,Petrol,Manual,17.01,1591,121.3,5,849892
Honda City,Honda,City,3,25000,Dealer,Petrol,Automatic,18.0,1497,117.6,5,1110061
Maruti Ciaz,Maruti,Ciaz,6,37006,Dealer,Diesel,Manual,26.21,1248,88.5,5,594457
Ford Ecosport,Ford,Ecosport,5,65000,Individual,Diesel,Manual,22.77,1498,98.59,5,740320
Maruti Ignis,Maruti,Ignis,3,16000,Individual,Petrol,Automatic,20.89,1197,81.8,5,593383
Honda City,Honda,City,7,146781,Dealer,Diesel,Manual,26.0,1498,98.6,5,479382
Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5,174383
Toyota Innova,Toyota,Innova,7,86000,Dealer,Diesel,Manual,12.8,2494,102.0,7,964170
Kia Seltos,Kia,Seltos,2,5400,Dealer,Petrol,Automatic,16.8,1353,138.0,5,1747905
Honda Jazz,Honda,Jazz,5,40000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,654450
Skoda Superb,Skoda,Superb,9,100000,Individual,Petrol,Manual,13.14,1798,157.8,5,529700
Honda Amaze,Honda,Amaze,6,44000,Dealer,Diesel,Manual,25.8,1498,98.6,5,465120
Ford Figo,Ford,Figo,3,40000,Individual,Petrol,Manual,18.16,1196,86.8,5,548650
Honda City,Honda,City,4,53000,Dealer,Petrol,Manual,17.4,1497,117.6,5,740812
Honda WR-V,Honda,WR-V,4,65360,Dealer,Diesel,Manual,25.5,1498,98.6,5,797360
Mahindra Bolero,Mahindra,Bolero,9,68000,Dealer,Diesel,Manual,13.6,2523,63.0,7,443875
Maruti Swift Dzire,Maruti,Swift Dzire,9,120000,Individual,Diesel,Manual,23.4,1248,74.0,5,402368
Toyota Innova,Toyota,Innova,4,44000,Individual,Diesel,Manual,13.68,2393,147.8,7,1572700
Toyota Camry,Toyota,Camry,6,49500,Dealer,Electric,Automatic,19.16,2494,157.7,5,1790350
Hyundai Elantra,Hyundai,Elantra,8,66612,Dealer,Petrol,Automatic,14.5,1797,147.5,5,716740
Maruti Alto,Maruti,Alto,3,80000,Dealer,Petrol,Manual,22.74,796,47.3,5,310170
Hyundai i10,Hyundai,i10,12,18000,Dealer,Petrol,Manual,20.36,1197,78.9,5,237046
Toyota Camry,Toyota,Camry,9,83386,Dealer,Petrol,Automatic,12.98,2494,178.3,5,1329950
Mahindra XUV500,Mahindra,XUV500,7,65436,Dealer,Diesel,Manual,15.1,2179,140.0,7,763200
Honda City,Honda,City,6,75129,Dealer,Petrol,Manual,17.4,1497,117.3,5,641000
Maruti Swift,Maruti,Swift,7,62500,Dealer,Diesel,Manual,25.2,1248,74.0,5,459620
Maruti Alto,Maruti,Alto,13,60000,Individual,Petrol,Manual,19.7,796,46.3,5,97313
Ford Ecosport,Ford,Ecosport,2,58000,Dealer,Petrol,Manual,17.0,1497,121.31,5,927120
Toyota Fortuner,Toyota,Fortuner,9,60000,Individual,Diesel,Manual,12.55,2982,168.5,7,1298950
Maruti Wagon R,Maruti,Wagon R,3,30000,Individual,Petrol,Manual,20.51,998,67.04,5,427604
Hyundai i10,Hyundai,i10,8,44000,Individual,Petrol,Manual,19.81,1086,68.05,5,297710
Maruti Swift Dzire,Maruti,Swift Dzire,4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5,714500
Maruti Vitara,Maruti,Vitara,2,22000,Dealer,Diesel,Automatic,24.3,1248,88.5,5,1086280
Mahindra XUV500,Mahindra,XUV500,7,170000,Individual,Diesel,Manual,15.1,2179,140.0,7,702933
Maruti Swift Dzire,Maruti,Swift Dzire,3,140000,Individual,Diesel,Manual,28.4,1248,74.02,5,633000
Hyundai i10,Hyundai,i10,9,75000,Dealer,Petrol,Manual,19.81,1086,68.05,5,241625
Ford Figo,Ford,Figo,11,67000,Dealer,Diesel,Manual,20.0,1399,68.0,5,255780
Hyundai Creta,Hyundai,Creta,4,40000,Individual,Diesel,Manual,19.67,1582,126.2,5,943800
Honda CR,Honda,CR,4,75000,Dealer,Petrol,Automatic,12.0,2354,187.4,5,1932260
Ford Ecosport,Ford,Ecosport,5,56393,Dealer,Diesel,Manual,22.77,1498,98.59,5,631120
Hyundai Venue,Hyundai,Venue,1,7066,Dealer,Petrol,Automatic,18.15,998,118.35,5,1208240
Hyundai Grand,Hyundai,Grand,6,55000,Dealer,Petrol,Manual,18.9,1197,82.0,5,391060
Jaguar XF,Jaguar,XF,6,20000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,2335490
Maruti Alto,Maruti,Alto,7,60000,Individual,Petrol,Manual,23.95,998,67.05,5,259292
Hyundai Verna,Hyundai,Verna,4,28000,Dealer,Petrol,Automatic,17.0,1591,121.3,5,979100
Maruti Baleno,Maruti,Baleno,4,45000,Dealer,Diesel,Manual,27.39,1248,74.0,5,669960
Maruti Ertiga,Maruti,Ertiga,4,50000,Individual,Diesel,Manual,24.52,1248,88.5,7,730750
Toyota Innova,Toyota,Innova,6,56212,Dealer,Diesel,Manual,12.99,2494,100.0,7,903030
Tata Nexon,Tata,Nexon,2,25000,Individual,Diesel,Manual,21.5,1497,108.5,5,778500
Hyundai i10,Hyundai,i10,10,68000,Dealer,Petrol,Manual,20.36,1197,78.9,5,309068
Maruti Ciaz,Maruti,Ciaz,3,40000,Individual,Diesel,Manual,28.09,1248,88.5,5,778140
Hyundai i10,Hyundai,i10,9,80000,Individual,Petrol,Manual,19.81,1086,68.05,5,248574
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Dealer,Petrol,Manual,22.0,1197,81.8,5,617546
Hyundai i20,Hyundai,i20,6,47000,Dealer,Diesel,Manual,21.19,1396,88.73,5,546060
Maruti Ciaz,Maruti,Ciaz,2,15000,Individual,Petrol,Manual,21.56,1462,103.25,5,900040
Maruti Ertiga,Maruti,Ertiga,9,50000,Individual,Diesel,Manual,20.77,1248,88.76,7,563859
Hyundai i20,Hyundai,i20,10,17728,Individual,Petrol,Manual,18.5,1197,80.0,5,329560
Hyundai i10,Hyundai,i10,9,15000,Individual,Petrol,Manual,20.36,1197,78.9,5,251400
Skoda Superb,Skoda,Superb,9,55200,Dealer,Petrol,Manual,13.14,1798,157.8,5,531460
Hyundai Grand,Hyundai,Grand,2,10000,Individual,Petrol,Manual,18.9,1197,81.86,5,543330
Mahindra XUV500,Mahindra,XUV500,6,186000,Individual,Diesel,Manual,15.1,2179,140.0,7,821395
Maruti Celerio,Maruti,Celerio,6,64000,Dealer,Diesel,Manual,27.62,793,47.0,5,432560
Honda City,Honda,City,6,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,550077
Mahindra Scorpio,Mahindra,Scorpio,3,57000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1190170
Hyundai Creta,Hyundai,Creta,2,51000,Dealer,Diesel,Manual,21.38,1396,88.7,5,1034220
Maruti Ertiga,Maruti,Ertiga,1,4500,Individual,Petrol,Manual,19.01,1462,103.26,7,959523
Hyundai Grand,Hyundai,Grand,8,50000,Individual,Petrol,Manual,18.9,1197,82.0,5,363390
Honda City,Honda,City,5,61000,Dealer,Petrol,Manual,17.8,1497,117.3,5,691850
Maruti Ciaz,Maruti,Ciaz,6,84000,Dealer,Diesel,Manual,26.21,1248,88.5,5,584630
Hyundai i20,Hyundai,i20,7,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,513990
Maruti Alto,Maruti,Alto,3,40000,Individual,Petrol,Manual,23.95,998,67.05,5,350617
Mahindra XUV500,Mahindra,XUV500,4,56000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1291203
Toyota Innova,Toyota,Innova,4,46000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1685010
Jaguar XF,Jaguar,XF,10,61000,Dealer,Diesel,Automatic,14.74,2993,270.9,5,1609830
Hyundai Grand,Hyundai,Grand,5,100000,Individual,Petrol,Manual,18.9,1197,82.0,5,427067
Maruti Swift Dzire,Maruti,Swift Dzire,7,101000,Individual,Petrol,Manual,17.5,1298,85.8,5,463577
Mahindra XUV500,Mahindra,XUV500,7,150000,Individual,Diesel,Manual,15.1,2179,140.0,7,759433
Maruti Baleno,Maruti,Baleno,15,60500,Dealer,Petrol,Manual,15.4,1590,94.0,5,153200
Ford Ecosport,Ford,Ecosport,6,131100,Individual,Diesel,Manual,22.77,1498,98.59,5,580300
Maruti Ciaz,Maruti,Ciaz,3,25000,Dealer,Petrol,Manual,20.65,1462,103.25,5,807770
Maruti Swift Dzire,Maruti,Swift Dzire,5,120000,Individual,Diesel,Manual,26.59,1248,74.0,5,553369
Volkswagen Polo,Volkswagen,Polo,6,62000,Dealer,Diesel,Manual,20.14,1498,88.0,5,565720
Hyundai Verna,Hyundai,Verna,2,15000,Individual,Petrol,Manual,17.0,1591,121.3,5,1056862
Mahindra XUV500,Mahindra,XUV500,5,46100,Individual,Diesel,Manual,16.0,2179,140.0,7,1156290
Hyundai i10,Hyundai,i10,11,60000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,286372
Honda City,Honda,City,7,45000,Dealer,Diesel,Manual,26.0,1498,98.6,5,529620
Toyota Fortuner,Toyota,Fortuner,5,50000,Dealer,Petrol,Automatic,10.26,2694,163.7,7,2216525
Honda Jazz,Honda,Jazz,5,38739,Dealer,Diesel,Manual,27.3,1498,98.6,5,601635
Land Rover Rover,Land Rover,Rover,9,158648,Dealer,Diesel,Automatic,11.49,4367,335.3,5,3111600
Hyundai Grand,Hyundai,Grand,5,51000,Dealer,Petrol,Manual,18.9,1197,82.0,5,457425
Mahindra XUV500,Mahindra,XUV500,4,30000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1468483
Mahindra Scorpio,Mahindra,Scorpio,7,46000,Dealer,Diesel,Manual,15.4,2523,75.0,9,729640
Toyota Innova,Toyota,Innova,14,95000,Dealer,Diesel,Manual,12.8,2494,102.0,8,440310
Maruti Swift Dzire,Maruti,Swift Dzire,8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5,373568
Tata Hexa,Tata,Hexa,4,10000,Individual,Diesel,Manual,17.6,2179,147.94,7,1243307
Maruti Swift,Maruti,Swift,7,50000,Dealer,Diesel,Manual,22.9,1248,74.0,5,487160
Maruti Wagon R,Maruti,Wagon R,14,35986,Dealer,Petrol,Manual,18.9,998,67.1,5,132240
Maruti Ciaz,Maruti,Ciaz,5,56000,Dealer,Diesel,Manual,28.09,1248,88.5,5,683890
Hyundai Verna,Hyundai,Verna,5,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,717145
Maruti Baleno,Maruti,Baleno,2,23000,Individual,Diesel,Manual,27.39,1248,74.0,5,739122
Ford Figo,Ford,Figo,11,89226,Dealer,Diesel,Manual,20.0,1399,68.0,5,271590
Maruti Swift Dzire,Maruti,Swift Dzire,4,44500,Individual,Diesel,Manual,28.4,1248,74.02,5,702763
Ford Figo,Ford,Figo,5,21200,Individual,Diesel,Manual,25.83,1498,99.0,5,533270
Hyundai i20,Hyundai,i20,5,60000,Individual,Petrol,Manual,17.19,1197,81.86,5,628892
Volkswagen Polo,Volkswagen,Polo,7,56000,Dealer,Diesel,Manual,20.14,1498,88.8,5,467750
BMW X1,BMW,X1,3,23000,Dealer,Diesel,Automatic,20.68,1995,190.0,5,2862620
Skoda Octavia,Skoda,Octavia,6,35000,Individual,Diesel,Automatic,19.3,1968,141.0,5,1090900
Honda City,Honda,City,7,45045,Dealer,Petrol,Automatic,18.0,1497,117.3,5,679400
Hyundai i20,Hyundai,i20,4,42000,Dealer,Petrol,Automatic,18.6,1368,98.63,5,719050
Maruti Baleno,Maruti,Baleno,4,38000,Dealer,Petrol,Manual,21.4,1197,83.1,5,608362
Skoda Rapid,Skoda,Rapid,9,103000,Dealer,Petrol,Automatic,14.3,1598,105.0,5,430880
Hyundai i20,Hyundai,i20,7,54159,Dealer,Petrol,Manual,18.6,1197,81.83,5,409460
Volkswagen Vento,Volkswagen,Vento,5,110000,Individual,Diesel,Automatic,22.15,1498,108.6,5,745160
Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Diesel,Manual,25.47,1248,88.5,7,1048750
Mahindra KUV100,Mahindra,KUV100,3,80000,Individual,Diesel,Manual,25.32,1198,77.0,6,608810
BMW 3,BMW,3,4,50000,Dealer,Diesel,Automatic,19.59,1995,184.0,5,2894760
Hyundai Verna,Hyundai,Verna,5,32359,Dealer,Petrol,Manual,17.01,1591,121.3,5,688250
Maruti Alto,Maruti,Alto,12,63000,Individual,Petrol,Manual,19.7,796,46.3,5,132287
Maruti Swift,Maruti,Swift,1,1500,Individual,Diesel,Manual,28.4,1248,74.0,5,730430
Maruti Alto,Maruti,Alto,11,41000,Dealer,Petrol,Manual,19.7,796,46.3,5,198490
Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.8,7,534575
Ford Figo,Ford,Figo,5,145000,Individual,Diesel,Manual,25.83,1498,99.0,5,424133
BMW 7,BMW,7,13,56000,Dealer,Petrol,Automatic,8.45,2979,321.0,5,736580
Honda Jazz,Honda,Jazz,4,20000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,722150
Honda City,Honda,City,6,88102,Dealer,Diesel,Manual,26.0,1498,98.6,5,549360
Honda City,Honda,City,5,32000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,839347
Hyundai Grand,Hyundai,Grand,7,55000,Dealer,Diesel,Manual,24.0,1186,73.97,5,360890
Renault Duster,Renault,Duster,7,43001,Dealer,Diesel,Manual,19.01,1461,108.45,5,523100
Honda Jazz,Honda,Jazz,2,4065,Dealer,Petrol,Manual,18.7,1199,88.7,5,676390
Maruti Alto,Maruti,Alto,15,100000,Individual,Petrol,Manual,19.7,796,46.3,5,109904
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,33999,Dealer,Petrol,Manual,12.3,1796,185.0,5,1330380
Skoda Superb,Skoda,Superb,11,154667,Dealer,Diesel,Automatic,17.2,1968,138.1,5,619305
Maruti Celerio,Maruti,Celerio,3,30700,Dealer,Petrol,Manual,21.63,998,67.0,5,460930
Maruti Swift Dzire,Maruti,Swift Dzire,7,210000,Individual,Diesel,Manual,23.4,1248,74.0,5,402332
Hyundai Creta,Hyundai,Creta,5,52500,Individual,Diesel,Manual,21.38,1396,88.7,5,789169
Honda City,Honda,City,9,55000,Dealer,Petrol,Manual,16.8,1497,116.3,5,409200
Toyota Camry,Toyota,Camry,6,73000,Dealer,Petrol,Automatic,12.98,2494,178.3,5,1442920
Maruti Ignis,Maruti,Ignis,3,33000,Dealer,Petrol,Manual,20.89,1197,81.8,5,515920
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,326010
Maruti Swift,Maruti,Swift,10,40000,Individual,Petrol,Manual,16.6,1197,85.0,5,313344
Maruti Swift,Maruti,Swift,3,48000,Dealer,Diesel,Manual,28.4,1248,74.0,5,684140
Ford Figo,Ford,Figo,3,60000,Individual,Petrol,Manual,18.16,1196,86.8,5,556220
Maruti Swift,Maruti,Swift,7,60000,Individual,Diesel,Manual,25.2,1248,74.0,5,450532
Tata Tigor,Tata,Tigor,2,50000,Individual,Diesel,Manual,24.7,1047,69.0,5,570500
Maruti Alto,Maruti,Alto,9,70000,Individual,Petrol,Manual,19.7,796,46.3,5,184685
Honda City,Honda,City,3,31543,Dealer,Petrol,Manual,16.8,1497,116.3,5,890587
Mahindra XUV500,Mahindra,XUV500,7,58232,Dealer,Diesel,Manual,15.1,2179,140.0,7,726084
Skoda Superb,Skoda,Superb,10,92000,Individual,Petrol,Manual,13.14,1798,157.8,5,451610
Maruti Alto,Maruti,Alto,3,14709,Dealer,Petrol,Manual,24.7,796,47.3,5,334310
Maruti Swift,Maruti,Swift,3,40000,Individual,Petrol,Manual,22.0,1197,81.8,5,536315
Honda City,Honda,City,8,80400,Dealer,Petrol,Automatic,16.8,1497,116.4,5,455970
Maruti Wagon R,Maruti,Wagon R,8,55000,Dealer,Petrol,Manual,21.79,998,67.05,5,285330
Hyundai Verna,Hyundai,Verna,9,72193,Dealer,Diesel,Manual,22.32,1582,126.32,5,473770
Honda Civic,Honda,Civic,2,21500,Dealer,Petrol,Automatic,16.5,1799,139.46,5,2026107
Mahindra Bolero,Mahindra,Bolero,9,80000,Individual,Diesel,Manual,15.96,2523,62.1,7,438485
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360010
Toyota Innova,Toyota,Innova,8,121000,Dealer,Diesel,Manual,12.8,2494,102.0,8,956250
Hyundai i20,Hyundai,i20,3,20773,Dealer,Petrol,Manual,18.6,1197,81.83,5,721308
Tata Safari,Tata,Safari,3,60000,Individual,Diesel,Manual,14.1,2179,147.94,7,849000
Volkswagen Polo,Volkswagen,Polo,10,61000,Dealer,Petrol,Manual,16.47,1198,73.9,5,279430
Maruti Ciaz,Maruti,Ciaz,2,9000,Dealer,Petrol,Manual,21.56,1462,103.25,5,940940
Hyundai i10,Hyundai,i10,9,50000,Individual,Petrol,Manual,20.36,1197,78.9,5,274785
Maruti Baleno,Maruti,Baleno,3,14000,Dealer,Petrol,Manual,21.4,1197,83.1,5,654690
Ford Figo,Ford,Figo,10,71000,Dealer,Diesel,Manual,25.83,1498,99.0,5,320830
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10,67000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,790620
Hyundai i20,Hyundai,i20,5,43000,Dealer,Diesel,Manual,22.54,1396,88.73,5,655145
Maruti Alto,Maruti,Alto,3,10000,Individual,Petrol,Automatic,23.95,998,67.1,5,361520
Hyundai i20,Hyundai,i20,11,80000,Dealer,Petrol,Manual,18.6,1197,81.83,5,318940
